Liverpool.Lennon.AP, ENG, GBR
month,Dry Bulb Temp,Dry Bulb Temp,Dry Bulb Temp,Dry Bulb Temp,Dry Bulb Temp,Dry Bulb Temp,Dry Bulb Temp,
 ,Avg Daily,Avg Daily Low,Avg Daily High,Record Low,Record High,Design Low,Design High,
 ,degrees C,degrees C,degrees C,degrees C,degrees C,degrees C,degrees C,
1,5.390457,3.3483872,7.435484,-2.0,14.0,-2.0,13.0,
2,5.7047615,3.0,8.142858,-2.0,14.0,-2.0,13.0,
3,6.8340054,3.8064516,10.032258,-3.0,15.0,-3.0,13.0,
4,8.77125,4.516667,12.9,1.0,16.0,1.0,16.0,
5,11.37715,7.8645163,14.903226,3.0,20.0,3.0,18.0,
6,14.635694,11.086666,18.2,6.8,28.0,6.8,26.0,
7,16.600134,13.17742,20.129032,9.0,26.0,9.0,25.0,
8,15.755241,12.645162,19.025806,8.0,25.0,8.0,24.0,
9,14.275277,11.3,17.566668,7.0,22.0,7.0,21.0,
10,11.013038,7.903226,14.0,0.0,19.0,0.0,18.0,
11,7.995695,5.4066668,10.366667,-1.0,15.0,-1.0,15.0,
12,5.7831993,3.7741935,7.693548,-9.0,13.0,-9.0,13.0,
